iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  2.165591e+03    0.00e+00    9.74e+04   0.00e+00   0.00e+00  1.00e+04        0    1.06e-02    3.88e-02
   1  1.662120e+03    5.03e+02    8.48e+04   5.12e+00   1.00e+00  3.00e+04        1    2.45e-02    6.34e-02
   2  1.621395e+03    4.07e+01    6.10e+04   1.16e+01   1.00e+00  9.00e+04        1    1.60e-02    7.95e-02
   3  1.562109e+03    5.93e+01    3.27e+05   3.05e+01   8.89e-01  1.70e+05        1    1.53e-02    9.48e-02
   4  1.485701e+03    7.64e+01    3.16e+05   4.80e+01   9.38e-01  5.11e+05        1    1.49e-02    1.10e-01
   5  2.711521e+03   -1.23e+03    3.16e+05   1.06e+02  -1.12e+01  2.56e+05        1    7.50e-03    1.17e-01
   6  1.455161e+03    3.05e+01    6.75e+05   5.88e+01   4.42e-01  2.55e+05        1    1.58e-02    1.33e-01
   7  1.491335e+03   -3.62e+01    6.75e+05   5.05e+01  -4.32e-01  1.28e+05        1    6.44e-03    1.40e-01
   8  1.396892e+03    5.83e+01    2.81e+05   2.68e+01   9.14e-01  2.94e+05        1    1.35e-02    1.53e-01
   9  1.619699e+03   -2.23e+02    2.81e+05   5.39e+01  -4.41e+00  1.47e+05        1    7.14e-03    1.60e-01
  10  1.382877e+03    1.40e+01    4.96e+05   2.85e+01   4.69e-01  1.47e+05        1    1.42e-02    1.75e-01
  11  1.364639e+03    1.82e+01    5.73e+05   2.67e+01   4.78e-01  1.47e+05        1    1.48e-02    1.89e-01
  12  1.345842e+03    1.88e+01    6.20e+05   2.54e+01   4.58e-01  1.47e+05        1    1.37e-02    2.03e-01
  13  1.326454e+03    1.94e+01    6.45e+05   2.44e+01   4.57e-01  1.47e+05        1    1.65e-02    2.20e-01
  14  1.306781e+03    1.97e+01    6.54e+05   2.35e+01   4.62e-01  1.47e+05        1    1.76e-02    2.37e-01
  15  1.287143e+03    1.96e+01    6.52e+05   2.27e+01   4.72e-01  1.47e+05        1    1.56e-02    2.53e-01
  16  1.267798e+03    1.93e+01    6.41e+05   2.21e+01   4.84e-01  1.47e+05        1    1.43e-02    2.67e-01
  17  1.248944e+03    1.89e+01    6.25e+05   2.14e+01   4.98e-01  1.47e+05        1    1.44e-02    2.82e-01
  18  1.230735e+03    1.82e+01    6.03e+05   2.08e+01   5.13e-01  1.47e+05        1    1.49e-02    2.97e-01
  19  1.213293e+03    1.74e+01    5.79e+05   2.01e+01   5.30e-01  1.47e+05        1    1.46e-02    3.11e-01
  20  1.196717e+03    1.66e+01    5.51e+05   1.95e+01   5.48e-01  1.47e+05        1    1.62e-02    3.28e-01
  21  1.181079e+03    1.56e+01    5.23e+05   1.88e+01   5.66e-01  1.47e+05        1    1.44e-02    3.42e-01
  22  1.166424e+03    1.47e+01    4.94e+05   1.82e+01   5.83e-01  1.48e+05        1    1.41e-02    3.56e-01
  23  1.152764e+03    1.37e+01    4.66e+05   1.76e+01   6.00e-01  1.49e+05        1    1.41e-02    3.70e-01
  24  1.140078e+03    1.27e+01    4.40e+05   1.70e+01   6.15e-01  1.51e+05        1    1.79e-02    3.88e-01
  25  1.128321e+03    1.18e+01    4.16e+05   1.65e+01   6.28e-01  1.53e+05        1    1.40e-02    4.02e-01
  26  1.117435e+03    1.09e+01    3.95e+05   1.60e+01   6.40e-01  1.57e+05        1    1.45e-02    4.17e-01
  27  1.107359e+03    1.01e+01    3.75e+05   1.56e+01   6.50e-01  1.61e+05        1    1.62e-02    4.33e-01
  28  1.098038e+03    9.32e+00    3.58e+05   1.52e+01   6.58e-01  1.66e+05        1    1.54e-02    4.49e-01
  29  1.089426e+03    8.61e+00    3.41e+05   1.48e+01   6.66e-01  1.73e+05        1    1.78e-02    4.67e-01
  30  1.081488e+03    7.94e+00    3.26e+05   1.44e+01   6.73e-01  1.80e+05        1    1.48e-02    4.81e-01
  31  1.074198e+03    7.29e+00    3.10e+05   1.41e+01   6.79e-01  1.89e+05        1    1.49e-02    4.96e-01
  32  1.067538e+03    6.66e+00    2.95e+05   1.37e+01   6.85e-01  1.99e+05        1    1.56e-02    5.12e-01
  33  1.061491e+03    6.05e+00    2.80e+05   1.33e+01   6.91e-01  2.10e+05        1    1.61e-02    5.28e-01
  34  1.056045e+03    5.45e+00    2.64e+05   1.30e+01   6.97e-01  2.24e+05        1    1.45e-02    5.43e-01
  35  1.051187e+03    4.86e+00    2.47e+05   1.25e+01   7.03e-01  2.40e+05        1    1.59e-02    5.59e-01
